TOKEN,POS,NER
like,ADP,O
Coca,PROPN,B-COM
-,PUNCT,I-COM
Cola,PROPN,L-COM
",",PUNCT,O
BMW,PROPN,U-COM
",",PUNCT,O
Disney,PROPN,U-COM
",",PUNCT,O
GE,PROPN,U-COM
",",PUNCT,O
IBM,PROPN,U-COM
",",PUNCT,O
etc,X,O
.,PUNCT,O
##END,###,O
These,DET,O
brands,NOUN,O
",",PUNCT,O
especially,ADV,O
those,DET,O
operating,VERB,O
in,ADP,O
the,DET,O
media,NOUN,O
",",PUNCT,O
business,NOUN,O
services,NOUN,O
and,CONJ,O
the,DET,O
automotive,ADJ,O
industries,NOUN,O
",",PUNCT,O
have,VERB,O
realized,VERB,O
that,ADP,O
having,VERB,O
an,DET,O
app,NOUN,O
store,NOUN,O
presence,NOUN,O
helps,VERB,O
them,PRON,O
to,PART,O
promote,VERB,O
their,ADJ,O
brand,NOUN,O
to,ADP,O
consumers,NOUN,O
",",PUNCT,O
and,CONJ,O
",",PUNCT,O
for,ADP,O
some,DET,O
",",PUNCT,O
even,ADV,O
to,PART,O
sell,VERB,O
content,NOUN,O
.,PUNCT,O
##END,###,O
Most,ADJ,O
brands,NOUN,O
",",PUNCT,O
though,ADV,O
",",PUNCT,O
are,VERB,O
not,ADV,O
looking,VERB,O
to,ADP,O
making,VERB,O
money,NOUN,O
with,ADP,O
their,ADJ,O
apps,NOUN,O
",",PUNCT,O
but,CONJ,O
give,VERB,O
them,PRON,O
away,ADV,O
for,ADP,O
free,ADJ,O
.,PUNCT,O
##END,###,O
What,NOUN,O
’s,VERB,O
even,ADV,O
more,ADV,O
interesting,ADJ,O
is,VERB,O
that,ADP,O
the,DET,O
brands,NOUN,O
that,ADJ,O
ranked,VERB,O
higher,ADV,O
on,ADP,O
Interbrand,PROPN,O
’s,PROPN,O
report,NOUN,O
actually,ADV,O
have,VERB,O
more,ADJ,O
presence,NOUN,O
in,ADP,O
the,DET,O
various,ADJ,O
app,NOUN,O
stores,NOUN,O
in,ADP,O
terms,NOUN,O
of,ADP,O
the,DET,O
volume,NOUN,O
of,ADP,O
applications,NOUN,O
.,PUNCT,O
##END,###,O
The,DET,O
more,ADJ,O
apps,NOUN,O
",",PUNCT,O
the,DET,O
higher,ADJ,O
the,DET,O
ranking,NOUN,O
.,PUNCT,O
##END,###,O
That,ADP,O
’s,PROPN,O
not,ADV,O
to,PART,O
say,VERB,O
that,ADP,O
the,DET,O
apps,NOUN,O
caused,VERB,O
the,DET,O
brands,NOUN,O
to,PART,O
rank,VERB,O
higher,ADJ,O
",",PUNCT,O
to,PART,O
be,VERB,O
clear,ADJ,O
.,PUNCT,O
##END,###,O
It,PRON,O
’s,VERB,O
more,ADV,O
likely,ADJ,O
a,DET,O
reflection,NOUN,O
of,ADP,O
the,DET,O
increasing,VERB,O
importance,NOUN,O
for,ADP,O
the,DET,O
world,NOUN,O
’s,ADV,O
largest,ADJ,O
brands,NOUN,O
to,PART,O
maintain,VERB,O
an,DET,O
App,PROPN,B-PDT
Store,PROPN,L-PDT
presence,NOUN,O
.,PUNCT,O
##END,###,O
Many,ADJ,O
of,ADP,O
these,DET,O
brands,NOUN,O
are,VERB,O
heavy,ADJ,O
app,NOUN,O
publishers,NOUN,O
",",PUNCT,O
too,ADV,O
–,PUNCT,O
the,DET,O
average,ADJ,O
number,NOUN,O
of,ADP,O
apps,NOUN,O
per,ADP,O
brand,NOUN,O
is,VERB,O
24,NUM,O
.,PUNCT,O
##END,###,O
That,ADP,O
average,ADJ,O
",",PUNCT,O
it,PRON,O
should,VERB,O
be,VERB,O
noted,VERB,O
",",PUNCT,O
is,VERB,O
due,ADJ,O
to,ADP,O
outliers,NOUN,O
like,ADP,O
Disney,PROPN,U-COM
(,PUNCT,O
636,NUM,O
apps,NOUN,O
!,PUNCT,O
),PUNCT,O
and,CONJ,O
##END,###,O
Sony,PROPN,U-COM
(,PUNCT,O
285,NUM,O
apps,NOUN,O
),PUNCT,O
",",PUNCT,O
which,ADJ,O
are,VERB,O
very,ADV,O
large,ADJ,O
publishers,NOUN,O
.,PUNCT,O
##END,###,O
However,ADV,O
",",PUNCT,O
even,ADV,O
if,ADP,O
you,PRON,O
remove,VERB,O
those,DET,O
two,NUM,O
from,ADP,O
the,DET,O
average,NOUN,O
",",PUNCT,O
it,PRON,O
’s,ADV,O
still,ADV,O
high,ADJ,O
at,ADP,O
15,NUM,O
applications,NOUN,O
per,ADP,O
brand,NOUN,O
.,PUNCT,O
##END,###,O
In,ADP,O
terms,NOUN,O
of,ADP,O
where,ADV,O
to,PART,O
publish,VERB,O
",",PUNCT,O
Apple,PROPN,U-COM
’s,PROPN,O
App,PROPN,B-PDT
Store,PROPN,L-PDT
is,VERB,O
",",PUNCT,O
not,ADV,O
surprisingly,ADV,O
",",PUNCT,O
the,DET,O
number,NOUN,O
one,NUM,O
pick,NOUN,O
.,PUNCT,O
##END,###,O
86%,NUM,O
of,ADP,O
the,DET,O
top,ADJ,O
brands,NOUN,O
have,VERB,O
a,DET,O
presence,NOUN,O
in,ADP,O
Apple,PROPN,U-COM
’s,PROPN,O
iPhone,PROPN,B-PDT
App,PROPN,I-PDT
Store,PROPN,L-PDT
",",PUNCT,O
66%,PROPN,O
are,VERB,O
in,ADP,O
the,DET,O
Apple,PROPN,U-COM
iPad,PROPN,B-PDT
App,PROPN,I-PDT
Store,PROPN,L-PDT
",",PUNCT,O
59%,NUM,O
have,VERB,O
a,DET,O
presence,NOUN,O
in,ADP,O
the,DET,O
Android,PROPN,B-PDT
Market,PROPN,L-PDT
and,CONJ,O
26%,NOUN,O
are,VERB,O
in,ADP,O
BlackBerry,PROPN,U-COM
’s,PROPN,O
App,PROPN,B-PDT
World,PROPN,L-PDT
.,PUNCT,O
##END,###,O
Of,ADP,O
those,DET,O
",",PUNCT,O
Google,PROPN,U-COM
’s,PROPN,O
Android,PROPN,B-PDT
Market,PROPN,L-PDT
is,VERB,O
gaining,VERB,O
the,DET,O
most,ADV,O
ground,NOUN,O
as,ADP,O
a,DET,O
preferred,ADJ,O
place,NOUN,O
to,PART,O
publish,VERB,O
.,PUNCT,O
##END,###,O
Meanwhile,ADV,O
",",PUNCT,O
Nokia,PROPN,U-COM
’s,PROPN,O
Ovi,PROPN,B-PDT
Store,PROPN,L-PDT
is,VERB,O
becoming,VERB,O
less,ADV,O
import,NOUN,O
.,PUNCT,O
##END,###,O
More,ADJ,O
details,NOUN,O
on,ADP,O
the,DET,O
report,NOUN,O
",",PUNCT,O
including,VERB,O
this,DET,O
month,NOUN,O
’s,PROPN,O
app,NOUN,O
rankings,NOUN,O
",",PUNCT,O
are,VERB,O
available,ADJ,O
from,ADP,O
Distimo,PROPN,U-COM
’s,PROPN,O
website,NOUN,O
here,ADV,O
.,PUNCT,O
##END,###,O
Big,ADJ,O
news,NOUN,O
from,ADP,O
Asia,PROPN,U-GPE
’s,ADV,O
mobile,ADJ,O
market,NOUN,O
today,NOUN,O
:,PUNCT,O
Japan,PROPN,U-GPE
’s,ADV,O
biggest,ADJ,O
mobile,ADJ,O
carrier,NOUN,O
NTT,PROPN,B-COM
Docomo,PROPN,L-COM
(,PUNCT,O
55,NUM,O
million,NUM,O
customers,NOUN,O
",",PUNCT,O
over,ADP,O
US$,SYM,B-MON
50,NUM,I-COM
billion,NUM,L-COM
in,ADP,O
sales,NOUN,O
per,ADP,O
year,NOUN,O
),PUNCT,O
is,VERB,O
teaming,VERB,O
up,PART,O
with,ADP,O
five,NUM,O
other,ADJ,O
tech,NOUN,O
powerhouses,NOUN,O
to,PART,O
develop,VERB,O
chips,NOUN,O
for,ADP,O
next,ADJ,O
-,PUNCT,O
generation,NOUN,O
mobile,ADJ,O
devices,NOUN,O
.,PUNCT,O
##END,###,O
Docomo,PROPN,U-COM
’s,PROPN,O
##END,###,O
partners,NOUN,O
are,VERB,O
NEC,PROPN,U-COM
",",PUNCT,O
Fujitsu,PROPN,U-COM
",",PUNCT,O
Fujitsu,PROPN,B-COM
Semiconductor,PROPN,I-COM
Ltd.,PROPN,L-COM
",",PUNCT,O
Panasonic,PROPN,U-COM
",",PUNCT,O
and,CONJ,O
Samsung,PROPN,U-COM
.,PUNCT,O
##END,###,O
The,DET,O
goal,NOUN,O
is,VERB,O
to,PART,O
use,VERB,O
synergies,NOUN,O
in,ADP,O
the,DET,O
six,NUM,O
companies’,NOUN,O
expertise,NOUN,O
in,ADP,O
developing,VERB,O
small,ADJ,O
and,CONJ,O
eco,ADJ,O
-,PUNCT,O
efficient,ADJ,O
chips,NOUN,O
to,PART,O
supply,VERB,O
to,ADP,O
mobile,ADJ,O
device,NOUN,O
manufacturers,NOUN,O
in,ADP,O
Japan,PROPN,U-GPE
",",PUNCT,O
Korea,PROPN,U-GPE
",",PUNCT,O
and,CONJ,O
other,ADJ,O
places,NOUN,O
.,PUNCT,O
##END,###,O
Docomo,PROPN,U-COM
says,VERB,O
the,DET,O
main,ADJ,O
focus,NOUN,O
will,VERB,O
be,VERB,O
on,ADP,O
“,PUNCT,O
products,NOUN,O
for,ADP,O
LTE,PROPN,U-PDT
and,CONJ,O
LTE,PROPN,U-PDT
-,PUNCT,O
Advanced,PROPN,O
mobile,ADJ,O
communication,NOUN,O
standards,NOUN,O
”,PUNCT,O
.,PUNCT,O
##END,###,O
The,DET,O
carrier,NOUN,O
plans,VERB,O
to,PART,O
set,VERB,O
up,PART,O
a,DET,O
subsidiary,NOUN,O
(,PUNCT,O
“,PROPN,O
Communication,PROPN,B-COM
Platform,PROPN,I-COM
Planning,PROPN,I-COM
Co.,PROPN,L-COM
”,PUNCT,O
),PUNCT,O
as,ADV,O
early,ADV,O
as,ADP,O
next,ADJ,O
month,NOUN,O
",",PUNCT,O
capitalize,VERB,O
it,PRON,O
at,ADP,O
US$,SYM,B-MON
5.8,NUM,I-MON
million,NUM,L-MON
",",PUNCT,O
and,CONJ,O
turn,VERB,O
that,DET,O
subsidiary,NOUN,O
into,ADP,O
a,DET,O
fabless,NOUN,O
joint,ADJ,O
venture,NOUN,O
with,ADP,O
the,DET,O
other,ADJ,O
partners,NOUN,O
in,ADP,O
March,PROPN,B-DAT
next,ADJ,I-DAT
year,NOUN,L-DAT
.,PUNCT,O
##END,###,O
According,VERB,O
to,ADP,O
Japan,PROPN,U-GPE
’s,PART,O
biggest,ADJ,O
business,NOUN,O
newspaper,NOUN,O
The,DET,B-COM
Nikkei,PROPN,L-COM
",",PUNCT,O
Docomo,PROPN,U-COM
plans,VERB,O
to,PART,O
become,VERB,O
the,DET,O
biggest,ADJ,O
shareholder,NOUN,O
in,ADP,O
the,DET,O
joint,ADJ,O
venture,NOUN,O
.,PUNCT,O
##END,###,O
If,ADP,O
you,PRON,O
’ve,VERB,O
ever,ADV,O
wondered,VERB,O
when,ADV,O
to,PART,O
pick,VERB,O
up,PART,O
the,DET,O
best,ADJ,O
deals,NOUN,O
on,ADP,O
the,DET,O
App,PROPN,B-PDT
Store,PROPN,L-PDT
",",PUNCT,O
here,ADV,O
are,VERB,O
some,DET,O
clues,NOUN,O
for,ADP,O
you,PRON,O
.,PUNCT,O
##END,###,O
Madvertise,PROPN,U-COM
and,CONJ,O
AppZap,PROPN,U-COM
teamed,VERB,O
up,PART,O
and,CONJ,O
released,VERB,O
new,ADJ,O
research,NOUN,O
into,ADP,O
the,DET,O
UK,PROPN,U-GPE
mobile,ADJ,O
market,NOUN,O
",",PUNCT,O
finding,VERB,O
out,PART,O
what,NOUN,O
types,NOUN,O
of,ADP,O
iOS,NOUN,U-PDT
apps,NOUN,O
are,VERB,O
the,DET,O
most,ADV,O
popular,ADJ,O
in,ADP,O
the,DET,O
UK,PROPN,U-GPE
and,CONJ,O
how,ADV,O
their,ADJ,O
prices,NOUN,O
fluctuate,VERB,O
within,ADP,O
one,NUM,O
week,NOUN,O
.,PUNCT,O
##END,###,O
In,ADP,O
their,ADJ,O
ongoing,ADJ,O
collaboration,NOUN,O
with,ADP,O
“,PUNCT,O
bargain,NOUN,O
guide,NOUN,O
”,PUNCT,O
AppZap,PROPN,U-COM
mobile,ADJ,O
ad,NOUN,O
network,NOUN,O
Madvertise,ADV,U-COM
now,ADV,O
published,VERB,O
their,ADJ,O
so,ADV,O
-,PUNCT,O
called,VERB,O
“,PUNCT,O
Madreport,PROPN,U-PDT
”,PUNCT,O
",",PUNCT,O
examining,VERB,O
developments,NOUN,O
in,ADP,O
the,DET,O
day,NOUN,O
-,PUNCT,O
to,ADP,O
-,PUNCT,O
day,NOUN,O
use,NOUN,O
of,ADP,O
mobile,ADJ,O
apps,NOUN,O
.,PUNCT,O
##END,###,O
It,PRON,O
’s,VERB,O
worth,ADJ,O
reading,VERB,O
if,ADP,O
you,PRON,O
’re,VERB,O
an,DET,O
advertiser,NOUN,O
or,CONJ,O
app,NOUN,O
developer,NOUN,O
looking,VERB,O
for,ADP,O
an,DET,O
update,NOUN,O
on,ADP,O
the,DET,O
market,NOUN,O
you,PRON,O
’re,VERB,O
dealing,VERB,O
with,ADP,O
",",PUNCT,O
but,CONJ,O
also,ADV,O
bears,VERB,O
some,DET,O
useful,ADJ,O
information,NOUN,O
for,ADP,O
the,DET,O
avid,ADJ,O
app,NOUN,O
downloader,NOUN,O
.,PUNCT,O
##END,###,O
For,ADP,O
instance,NOUN,O
",",PUNCT,O
do,VERB,O
n’t,ADV,O
shop,VERB,O
on,ADP,O
Thursdays,PROPN,U-DAT
.,PUNCT,O
##END,###,O
A,DET,O
17.90%,ADJ,O
rise,NOUN,O
in,ADP,O
price,NOUN,O
for,ADP,O
iPad,PROPN,U-PDT
apps,NOUN,O
and,CONJ,O
a,DET,O
similar,ADJ,O
17.36%,ADJ,O
increase,NOUN,O
for,ADP,O
iPhone,PROPN,U-PDT
apps,NOUN,O
is,VERB,O
the,DET,O
rule,NOUN,O
.,PUNCT,O
##END,###,O
It,PRON,O
’s,PROPN,O
also,ADV,O
the,DET,O
day,NOUN,O
where,ADV,O
most,ADJ,O
new,ADJ,O
apps,NOUN,O
are,VERB,O
added,VERB,O
to,ADP,O
the,DET,O
store,NOUN,O
.,PUNCT,O
##END,###,O
On,ADP,O
Fridays,NOUN,U-DAT
however,ADV,O
prices,NOUN,O
are,VERB,O
lowered,VERB,O
by,ADP,O
a,DET,O
total,NOUN,O
of,ADP,O
19.58%,NOUN,O
for,ADP,O
the,DET,O
iPad,PROPN,U-PDT
and,CONJ,O
18.00%,PROPN,O
for,ADP,O
the,DET,O
iPhone,PROPN,U-PDT
–,PUNCT,O
definitely,ADV,O
the,DET,O
best,ADJ,O
day,NOUN,O
to,PART,O
go,VERB,O
app,NOUN,O
hunting,NOUN,O
.,PUNCT,O
##END,###,O
The,DET,O
Games,PROPN,O
category,NOUN,O
is,VERB,O
the,DET,O
most,ADV,O
popular,ADJ,O
for,ADP,O
iOS,NOUN,U-PDT
in,ADP,O
the,DET,O
UK,PROPN,U-GPE
",",PUNCT,O
although,ADP,O
only,ADV,O
just,ADV,O
under,ADP,O
two,NUM,O
fifths,NOUN,O
of,ADP,O
the,DET,O
whopping,ADJ,O
"57,215",NUM,O
gaming,NOUN,O
apps,NOUN,O
are,VERB,O
free,ADJ,O
.,PUNCT,O
##END,###,O
Here,ADV,O
are,VERB,O
the,DET,O
Top,ADJ,O
5,NUM,O
app,ADJ,O
categories,NOUN,O
as,ADP,O
identified,VERB,O
by,ADP,O
madvertise,NOUN,U-COM
and,CONJ,O
App,PROPN,B-COM
Zap,PROPN,L-COM
:,PUNCT,O
For,ADP,O
the,DET,O
iPhone,PROPN,U-PDT
:,PUNCT,O
•,PUNCT,O
     ,SPACE,O
##END,###,O
Games,PROPN,O
(,PUNCT,O
15.9%,NUM,O
),PUNCT,O
•,PUNCT,O
     ,SPACE,O
##END,###,O
Books,NOUN,O
(,PUNCT,O
11.81%,NUM,O
),PUNCT,O
•,PUNCT,O
     ,SPACE,O
##END,###,O
Entertainment,NOUN,O
(,PUNCT,O
11.12%,PROPN,O
),PUNCT,O
•,PUNCT,O
     ,SPACE,O
##END,###,O
Education,NOUN,O
(,PUNCT,O
8.48%,PROPN,O
),PUNCT,O
•,PUNCT,O
     ,SPACE,O
##END,###,O
Lifestyle,PROPN,O
(,PUNCT,O
7.56%,PROPN,O
),PUNCT,O
##END,###,O
For,ADP,O
the,DET,O
iPad,PROPN,U-PDT
it,PRON,O
’s,VERB,O
a,DET,O
similar,ADJ,O
story,NOUN,O
:,PUNCT,O
•,PUNCT,O
     ,SPACE,O
##END,###,O
Games,PROPN,O
(,PUNCT,O
18.21%,NUM,O
),PUNCT,O
•,PUNCT,O
     ,SPACE,O
##END,###,O
Books,NOUN,O
(,PUNCT,O
15.9%,NUM,O
),PUNCT,O
•,PUNCT,O
     ,SPACE,O
##END,###,O
Education,NOUN,O
(,PUNCT,O
12.71%,PROPN,O
),PUNCT,O
•,PUNCT,O
     ,SPACE,O
##END,###,O
Entertainment,NOUN,O
(,PUNCT,O
8.31%,PROPN,O
),PUNCT,O
•,PUNCT,O
     ,SPACE,O
##END,###,O
Lifestyle,PROPN,O
(,PUNCT,O
7.19%,PROPN,O
),PUNCT,O
##END,###,O
The,DET,O
cheapest,ADJ,O
app,NOUN,O
category,NOUN,O
in,ADP,O
the,DET,O
UK,PROPN,U-GPE
is,VERB,O
Lifestyle,PROPN,O
",",PUNCT,O
averaging,VERB,O
at,ADP,O
50,NUM,O
pence,NOUN,O
for,ADP,O
essentials,NOUN,O
on,ADP,O
our,ADJ,O
phones,NOUN,O
like,ADP,O
 ,SPACE,O
cookbook,NOUN,O
or,CONJ,O
setup,NOUN,O
wizard,NOUN,O
.,PUNCT,O
##END,###,O
If,ADP,O
you,PRON,O
want,VERB,O
to,PART,O
sell,VERB,O
your,ADJ,O
app,NOUN,O
for,ADP,O
more,ADJ,O
the,DET,O
Health,PROPN,O
category,NOUN,O
is,VERB,O
the,DET,O
way,NOUN,O
to,PART,O
go,VERB,O
",",PUNCT,O
where,ADV,O
the,DET,O
average,ADJ,O
cost,NOUN,O
is,VERB,O
about,ADV,O
three,NUM,O
pounds,NOUN,O
in,ADP,O
the,DET,O
case,NOUN,O
of,ADP,O
the,DET,O
iPhone,PROPN,U-PDT
and,CONJ,O
more,ADJ,O
than,ADP,O
seven,NUM,O
pounds,NOUN,O
for,ADP,O
the,DET,O
iPad,PROPN,U-PDT
.,PUNCT,O
##END,###,O
Berlin,PROPN,U-GPE
-,PUNCT,O
headquartered,VERB,O
startup,NOUN,O
madvertise,NOUN,U-COM
